"name","negative","positive"
Ginestar,3,2
La Palma d'Ebre,1,1
La Torre de l'Espanyol,1,1
Miravet,2,0
Móra d'Ebre,17,3
Móra la Nova,12,0
Rasquera,3,0
Riba-Roja d'Ebre,2,0
Tivissa,3,0
Vinebre,2,0
Campdevànol,8,6
Camprodon,8,1
Gombrèn,0,1
Llanars,2,0
Molló,4,0
Ogassa,1,0
Pardines,0,1
Ribes de Freser,3,3
Ripoll,29,37
Sant Joan de les Abadesses,14,12
Sant Pau de Segúries,2,1
Setcases,2,0
Vilallonga de Ter,1,1
Biosca,2,0
Cervera,56,23
Estaràs,0,1
Granyena de Segarra,0,1
Guissona,36,53
Ivorra,1,1
Les Oluges,1,1
Massoteres,1,1
Montoliu de Segarra,1,0
Ribera d'Ondara,0,3
Sanaüja,1,0
Sant Guim de Freixenet,7,2
Sant Ramon,1,2
Talavera,0,2
Torà,6,0
Torrefeta i florejacs,0,3
Aitona,23,10
Albatàrrec,8,5
Alcanó,1,1
Alcarràs,46,14
Alcoletge,14,7
Alfarràs,15,6
Alguaire,8,7
Almacelles,25,10
Almenar,26,10
Alpicat,32,11
Artesa de Lleida,5,6
Aspa,0,1
Benavent de Segrià,7,6
Corbins,3,0
Els Alamús,4,1
Gimenells i el Pla de la Font,8,1
La Granja d'Escarp,3,0
La Portella,3,1
Llardecans,3,1
Lleida,670,437
Maials,1,7
Puigverd de Lleida,5,2
Rosselló,9,7
Seròs,3,2
Soses,2,3
Sudanell,2,1
Sunyer,1,0
Torrefarrera,15,12
Torres del Segre,30,6
Torre-Serona,2,0
Vilanova de la Barca,11,1
Vilanova de Segrià,5,2
Amer,6,4
Anglès,17,11
Arbúcies,26,11
Blanes,223,89
Breda,12,6
Brunyola,0,1
Caldes de Malavella,31,21
Fogars de Tordera,6,1
Hostalric,22,13
La Cellera de Ter,11,3
Lloret de Mar,144,113
Maçanet de la Selva,29,5
Massanes,4,5
Riells i Viabrea,17,8
Riudarenes,8,5
Riudellots de la Selva,7,0
Sant Feliu de Buixalleu,2,3
Sant Hilari Sacalm,15,43
Sant Julià del Llor i Bonmatí,4,2
Santa Coloma de Farners,57,40
Sils,28,19
Susqueda,1,0
Tossa de Mar,19,3
Vidreres,32,21
Vilobí d'Onyar,10,5
Navès,0,1
Olius,2,2
Riner,0,1
Solsona,10,6
Altafulla,10,5
Constantí,22,11
Creixell,13,7
El Catllar,12,4
El Morell,9,5
Els Pallaresos,23,40
La Canonja,31,5
La Pobla de Mafumet,14,2
La Pobla de Montornès,1,3
La Riera de Gaià,1,2
La Secuita,5,4
Perafort,4,2
Roda de Berà,9,10
Salou,86,34
Tarragona,673,213
Torredembarra,15,33
Vespella,2,0
Vilallonga del Camp,11,4
Vila-Seca,17,25
Arnes,2,0
Batea,6,1
Bot,1,0
Caseres,1,2
Corbera d'Ebre,3,0
Gandesa,8,0
Horta de Sant Joan,1,1
La Fatarella,2,0
La Pobla de Massaluca,3,1
Agramunt,20,8
Anglesola,3,1
Belianes,3,1
Bellpuig,13,4
Castellserà,4,4
Ciutadilla,1,0
Els Omells de na Gaia,2,0
Guimerà,1,0
La Fuliola,12,31
Nalec,0,1
Preixana,0,1
Puigverd d'Agramunt,0,1
Sant Martí de Riucorb,2,1
Tàrrega,62,40
Tornabous,3,5
Vallbona de les Monges,2,0
Verdú,7,2
Vilagrassa,1,4
Badia del Vallès,59,58
Barberà del Vallès,176,191
Castellar del Vallès,173,105
Castellbisbal,48,36
Cerdanyola del Vallès,335,277
Gallifa,0,2
Matadepera,46,45
Montcada i Reixac,154,147
Palau-Solità i Plegamans,54,45
Polinyà,29,25
Rellinars,3,1
Ripollet,188,145
Rubí,272,315
Sabadell,1588,1198
Sant Cugat del Vallès,331,323
Sant Llorenç Savall,51,39
Sant Quirze del Vallès,159,165
Santa Perpétua de Mogoda,123,94
Sentmenat,48,18
Terrassa,1144,960
Ullastrell,8,18
Vacarisses,25,13
Viladecavalls,34,32
Aiguafreda,12,11
Bigues i Riells,39,21
Caldes de Montbui,71,60
Campins,2,2
Canovelles,50,36
Cànoves i Samalús,11,11
Cardedeu,76,44
