"id","name","cases","value"
382,Montcada i Reixac - 2,46,41.2
383,Barcelona 3H - La Marina,93,46.2
384,Cerdanyola-Ripollet,49,37.9
385,Barcelona 8J - Cotxeres,146,52
386,Ripollet 1 - Pinetons,72,44
387,Ripollet 2 - Centre,50,39.5
388,Sant Cugat del Vallès-1,109,36.7
389,Sant Cugat del Vallès-2,121,38.2
390,Sant Cugat del Vallès-3,81,36.7
391,Palau-Solità i Plegamans,39,27.3
392,Polinyà-Sentmenat,45,29.7
393,Ribes-Olivella,33,18.7
394,Roquetes-Canyelles,31,16.9
395,Barcelona  9H - CAP Sant Andreu,147,43.3
396,Barcelona 9I - CAP Casernes,156,59.7
397,Vilafranca del Penedès 1,45,22.2
398,Vilafranca del Penedès 2,28,13.6
399,Castellbisbal,51,45.5
400,Barcelona  3I -  Badal,118,42.3
401,Viladecans 3,169,83
402,Barcelona  8K - Porta,134,65.4
403,Barcelona  8L - Prosperitat-Verdum,211,65.4
